temperature,precipitation,wind_speed,delay_hours,risk_score,risk_level
32.3,13.1,44.7,2.0,0.789,high
11.1,17.6,1.6,0.93,0.417,medium
7.6,9.7,40.6,1.7,0.579,medium
19.4,10.8,28.1,1.38,0.547,medium
1.3,18.4,27.3,1.74,0.605,medium
31.1,18.0,47.9,2.34,0.903,high
-1.6,9.0,37.4,1.57,0.498,medium
39.4,5.5,42.5,1.64,0.664,medium
29.8,7.9,17.7,0.93,0.452,medium
3.9,7.8,27.7,1.22,0.418,medium
-4.8,5.7,30.8,1.21,0.366,medium
31.7,5.4,16.1,0.75,0.399,medium
26.8,17.2,28.5,1.72,0.706,high
27.8,1.4,11.8,0.42,0.269,low
29.7,13.6,7.2,0.9,0.471,medium
-1.7,3.5,18.7,0.74,0.236,low
11.1,6.9,37.0,1.45,0.511,medium
0.2,1.2,45.8,1.43,0.428,medium
33.8,5.4,22.9,0.96,0.466,medium
23.0,15.4,32.1,1.73,0.685,medium
9.9,17.7,5.2,1.04,0.444,medium
-2.1,4.4,45.2,1.58,0.475,medium
9.0,9.3,28.4,1.32,0.476,medium
9.6,9.4,39.0,1.64,0.569,medium
27.8,17.5,39.7,2.07,0.81,high
23.7,15.3,12.8,1.15,0.524,medium
34.9,10.3,26.5,1.31,0.594,medium
16.2,13.4,48.0,2.11,0.75,high
0.4,16.9,4.5,0.98,0.381,medium
27.1,0.2,34.2,1.04,0.432,medium
29.2,8.1,48.1,1.85,0.708,high
20.3,18.1,15.0,1.36,0.581,medium
29.7,14.8,43.1,2.03,0.795,high
17.2,10.9,46.7,1.95,0.697,medium
18.5,10.6,37.4,1.65,0.618,medium
14.2,7.0,11.6,0.7,0.314,medium
-3.9,10.4,16.7,1.02,0.341,medium
-0.1,13.1,1.8,0.71,0.284,low
-3.6,8.4,41.6,1.67,0.514,medium
23.6,14.3,42.5,1.99,0.754,high
9.1,17.2,31.6,1.81,0.653,medium
17.9,3.1,17.6,0.68,0.306,medium
35.8,9.0,3.8,0.58,0.383,medium
6.2,8.2,37.7,1.54,0.52,medium
13.5,13.7,36.3,1.77,0.645,medium
29.0,5.0,45.6,1.62,0.627,medium
5.3,12.8,36.5,1.74,0.594,medium
-1.5,17.5,41.4,2.12,0.694,medium
8.0,8.4,37.3,1.54,0.529,medium
2.3,18.2,31.5,1.86,0.641,medium
36.8,19.9,21.3,1.67,0.744,high
31.4,2.1,45.1,1.46,0.579,medium
23.5,4.7,32.5,1.21,0.487,medium
34.2,19.0,19.9,1.55,0.701,high
31.2,19.2,4.2,1.09,0.559,medium
3.4,2.0,14.5,0.54,0.195,low
35.2,0.3,27.2,0.84,0.411,medium
19.3,3.2,13.8,0.57,0.282,low
31.3,19.9,11.1,1.33,0.631,medium
35.3,3.6,26.4,0.98,0.468,medium
9.3,10.1,8.5,0.76,0.325,medium
-0.0,17.0,40.0,2.05,0.679,medium
5.3,0.4,24.2,0.75,0.255,low
14.2,12.1,28.7,1.47,0.555,medium
31.8,5.5,7.4,0.5,0.328,medium
33.7,17.2,16.2,1.35,0.633,medium
-4.7,5.7,20.5,0.9,0.28,low
18.0,13.7,40.4,1.9,0.7,medium
13.8,13.5,38.5,1.83,0.662,medium
5.0,4.4,11.1,0.55,0.219,low
0.4,0.7,30.8,0.96,0.294,low
10.2,8.2,12.2,0.78,0.324,medium
37.4,5.8,49.4,1.82,0.716,high
9.5,16.2,47.6,2.24,0.771,high
18.3,16.0,28.2,1.65,0.643,medium
26.6,9.1,34.9,1.5,0.604,medium
11.4,12.1,40.1,1.81,0.638,medium
38.7,12.1,36.0,1.76,0.731,high
38.3,16.5,35.0,1.94,0.803,high
6.3,8.5,47.9,1.86,0.612,medium
17.4,5.5,29.8,1.17,0.452,medium
8.5,5.3,31.8,1.22,0.426,medium
7.8,10.7,42.5,1.81,0.615,medium
-3.3,9.0,33.5,1.45,0.458,medium
22.4,8.8,36.6,1.54,0.595,medium
17.6,1.8,11.7,0.44,0.231,low
-2.7,14.4,18.6,1.28,0.438,medium
7.5,4.3,7.4,0.44,0.197,low
35.9,3.9,25.3,0.97,0.468,medium
5.8,8.3,22.8,1.1,0.395,medium
1.5,4.6,49.9,1.73,0.534,medium
17.0,11.7,30.6,1.5,0.575,medium
39.4,7.4,39.3,1.64,0.673,medium
5.9,9.0,16.7,0.95,0.358,medium
25.2,10.7,41.6,1.78,0.685,medium
29.3,4.1,30.8,1.13,0.487,medium
5.7,3.1,34.8,1.2,0.397,medium
27.8,17.6,14.7,1.32,0.602,medium
11.6,8.7,27.4,1.26,0.467,medium
23.5,8.2,31.7,1.36,0.547,medium
23.5,0.7,29.5,0.92,0.386,medium
19.1,10.0,45.8,1.87,0.68,medium
-0.9,11.1,44.9,1.9,0.604,medium
32.6,11.2,48.5,2.01,0.785,high
9.4,14.1,33.4,1.71,0.611,medium
3.4,3.5,48.6,1.63,0.51,medium
-3.2,5.0,41.6,1.5,0.451,medium
21.6,16.2,13.5,1.22,0.538,medium
25.5,18.9,21.4,1.59,0.673,medium
-4.3,2.7,11.9,0.49,0.152,low
18.0,10.0,0.2,0.51,0.292,low
5.2,4.3,9.4,0.5,0.204,low
24.0,1.2,0.2,0.07,0.151,low
2.8,6.5,36.0,1.4,0.458,medium
26.1,2.9,21.3,0.78,0.37,medium
12.4,14.2,15.6,1.18,0.476,medium
37.2,10.7,38.1,1.72,0.712,high
1.2,2.9,41.6,1.39,0.43,medium
10.3,0.2,48.8,1.47,0.479,medium
0.1,16.2,32.1,1.77,0.598,medium
36.6,3.5,23.1,0.9,0.446,medium
34.5,12.1,15.3,1.06,0.532,medium
6.6,6.7,11.1,0.67,0.27,low
24.7,11.7,10.6,0.9,0.441,medium
31.8,6.3,20.5,0.93,0.453,medium
20.0,1.7,49.6,1.57,0.558,medium
18.8,4.5,0.0,0.22,0.189,low
5.9,3.8,9.9,0.49,0.202,low
-0.8,8.6,9.4,0.71,0.259,low
35.4,13.2,35.9,1.74,0.73,high
35.5,5.3,17.6,0.8,0.427,medium
23.5,0.2,22.9,0.7,0.321,medium
10.3,10.4,7.4,0.74,0.325,medium
10.7,12.1,20.2,1.21,0.467,medium
27.7,19.3,5.2,1.12,0.554,medium
35.4,11.8,26.7,1.4,0.627,medium
34.9,9.4,4.9,0.62,0.395,medium
30.1,11.5,39.5,1.76,0.704,high
23.9,18.6,28.3,1.78,0.718,high
-1.2,16.6,36.2,1.92,0.635,medium
2.3,6.5,20.9,0.95,0.329,medium
35.4,4.7,19.1,0.82,0.428,medium
22.3,5.3,4.9,0.41,0.261,low
-4.6,10.1,26.2,1.29,0.412,medium
-0.4,14.9,25.7,1.52,0.518,medium
24.9,10.1,23.4,1.21,0.52,medium
-4.8,1.4,37.0,1.18,0.336,medium
2.2,14.5,41.6,1.97,0.655,medium
19.7,16.1,37.5,1.93,0.729,high
26.1,5.8,7.2,0.51,0.307,medium
24.3,13.3,31.1,1.6,0.642,medium
5.1,8.5,4.0,0.55,0.238,low
27.0,17.8,34.7,1.93,0.77,high
5.7,16.9,19.1,1.42,0.527,medium
9.6,10.5,6.6,0.72,0.317,medium
28.6,13.8,43.1,1.98,0.772,high
24.2,17.7,30.7,1.81,0.722,high
33.2,9.9,17.7,1.03,0.505,medium
24.6,6.3,1.5,0.36,0.262,low
20.6,15.1,26.9,1.56,0.625,medium
-0.8,4.4,46.2,1.61,0.489,medium
11.5,7.8,29.8,1.28,0.47,medium
6.9,17.3,48.6,2.32,0.788,high
6.0,14.5,6.8,0.93,0.379,medium
38.8,8.1,28.4,1.33,0.591,medium
12.7,4.3,39.9,1.41,0.493,medium
35.1,7.1,26.3,1.15,0.532,medium
23.4,5.7,4.6,0.42,0.271,low
30.8,3.5,29.1,1.05,0.468,medium
17.6,14.9,30.6,1.66,0.638,medium
21.0,5.0,36.4,1.34,0.514,medium
17.2,9.1,38.1,1.6,0.59,medium
3.8,7.7,38.5,1.54,0.507,medium
27.5,19.6,33.2,1.98,0.794,high
7.6,7.8,10.8,0.71,0.292,low
-3.9,1.6,20.2,0.69,0.203,low
24.0,1.8,38.8,1.25,0.487,medium
3.0,11.8,47.7,2.02,0.659,medium
37.3,12.0,3.9,0.76,0.45,medium
37.9,8.4,26.8,1.28,0.578,medium
36.2,8.6,15.6,0.92,0.477,medium
11.7,1.1,11.3,0.39,0.187,low
-4.3,10.3,25.3,1.27,0.409,medium
36.8,10.1,30.3,1.45,0.633,medium
14.3,3.0,0.5,0.17,0.145,low
38.5,2.1,39.0,1.34,0.564,medium
38.4,2.5,41.0,1.42,0.588,medium
33.4,2.0,48.3,1.55,0.613,medium
8.3,12.2,9.0,0.88,0.364,medium
12.3,3.9,29.7,1.09,0.399,medium
33.3,5.0,21.3,0.89,0.442,medium
9.3,3.5,16.7,0.68,0.268,low
2.6,19.2,28.3,1.81,0.635,medium
20.1,17.1,39.1,2.03,0.763,high
37.1,4.6,1.2,0.31,0.286,low
26.3,6.6,48.5,1.78,0.67,medium
20.7,4.2,40.5,1.42,0.532,medium
-0.6,9.8,37.6,1.62,0.52,medium
22.7,0.4,38.0,1.16,0.448,medium
39.6,13.4,19.5,1.35,0.622,medium
1.3,10.5,37.6,1.65,0.541,medium
18.3,18.0,19.3,1.48,0.606,medium
34.5,3.3,44.9,1.51,0.613,medium
28.3,16.1,8.9,1.07,0.526,medium
26.4,15.8,14.6,1.23,0.561,medium
26.6,2.5,27.6,0.95,0.417,medium
11.2,8.0,16.0,0.88,0.356,medium
8.2,3.4,21.2,0.81,0.3,low
31.4,5.1,24.6,0.99,0.463,medium
31.5,5.3,42.8,1.55,0.621,medium
34.0,11.1,26.2,1.34,0.602,medium
36.1,8.2,18.1,0.98,0.491,medium
18.0,19.0,12.4,1.32,0.565,medium
17.6,2.5,20.4,0.74,0.317,medium
30.9,19.5,25.8,1.75,0.745,high
24.2,4.6,37.3,1.35,0.529,medium
26.6,15.5,6.1,0.96,0.484,medium
30.8,6.8,11.1,0.67,0.379,medium
35.1,2.9,19.0,0.72,0.391,medium
10.2,17.2,18.0,1.4,0.544,medium
11.9,6.2,19.6,0.9,0.356,medium
-0.8,13.2,39.7,1.85,0.601,medium
21.0,11.3,16.2,1.05,0.464,medium
-3.4,9.4,25.1,1.22,0.394,medium
16.0,9.9,31.2,1.43,0.541,medium
19.4,14.6,11.6,1.08,0.481,medium
7.9,1.8,35.9,1.17,0.391,medium
21.6,13.4,27.4,1.49,0.601,medium
-3.6,17.9,22.3,1.56,0.531,medium
-3.3,1.2,40.5,1.27,0.368,medium
32.0,2.8,12.2,0.51,0.318,medium
11.2,14.3,44.2,2.04,0.713,high
0.7,8.7,28.1,1.28,0.425,medium
18.5,8.1,30.5,1.32,0.513,medium
29.6,2.7,43.8,1.45,0.571,medium
4.7,10.1,40.9,1.73,0.577,medium
23.0,2.5,30.1,1.03,0.423,medium
-1.2,9.5,37.7,1.61,0.512,medium
-2.7,15.3,21.7,1.42,0.482,medium
18.9,5.2,27.4,1.08,0.433,medium
19.3,9.6,3.1,0.57,0.314,medium
23.7,19.8,4.5,1.12,0.539,medium
27.7,13.7,41.5,1.93,0.752,high
38.9,16.8,3.0,1.01,0.544,medium
18.2,8.3,8.5,0.67,0.33,medium
9.5,15.4,39.8,1.96,0.689,medium
30.8,0.8,0.1,0.04,0.173,low
7.2,2.5,14.1,0.55,0.218,low
14.8,4.1,29.2,1.08,0.409,medium
-1.5,8.0,29.8,1.29,0.416,medium
-3.9,16.9,38.9,2.01,0.651,medium
38.3,6.9,25.3,1.17,0.539,medium
32.6,13.1,25.5,1.42,0.628,medium
26.3,14.2,36.3,1.8,0.712,high
13.4,11.7,24.9,1.33,0.511,medium
2.8,7.1,30.4,1.27,0.423,medium
2.0,11.5,44.9,1.92,0.625,medium
6.3,6.8,20.1,0.94,0.346,medium
19.7,1.7,19.3,0.66,0.302,medium
27.2,19.9,0.2,1.0,0.521,medium
24.7,2.5,30.7,1.05,0.436,medium
7.6,1.4,1.5,0.12,0.093,low
38.0,17.6,25.2,1.7,0.74,high
28.2,6.0,40.2,1.51,0.598,medium
19.9,13.0,27.5,1.48,0.587,medium
22.5,6.6,13.5,0.74,0.359,medium
13.9,7.8,39.3,1.57,0.56,medium
6.1,5.2,13.5,0.66,0.259,low
11.0,6.9,36.7,1.45,0.509,medium
29.1,8.2,30.5,1.32,0.561,medium
-4.4,14.4,8.5,0.98,0.346,medium
0.2,10.2,45.3,1.87,0.596,medium
-2.9,18.9,10.0,1.24,0.45,medium
-3.2,0.8,49.5,1.52,0.437,medium
33.5,10.1,0.4,0.52,0.364,medium
26.7,11.7,13.2,0.98,0.472,medium
16.3,18.4,10.0,1.22,0.526,medium
-0.6,1.0,0.7,0.07,0.042,low
17.1,11.5,36.6,1.67,0.622,medium
16.3,17.1,34.7,1.9,0.71,high
2.8,4.8,39.6,1.43,0.457,medium
14.5,17.5,12.8,1.26,0.525,medium
12.9,0.4,22.2,0.69,0.272,low
22.7,14.6,33.0,1.72,0.676,medium
23.6,18.7,22.0,1.6,0.666,medium
-3.0,13.1,34.9,1.7,0.549,medium
11.9,8.8,31.7,1.39,0.507,medium
23.2,0.9,5.7,0.22,0.188,low
17.6,18.4,39.1,2.09,0.777,high
33.5,9.4,36.0,1.55,0.65,medium
24.6,0.6,32.8,1.01,0.416,medium
2.3,13.8,7.8,0.92,0.358,medium
-1.8,9.6,13.4,0.88,0.307,medium
23.9,2.5,19.7,0.72,0.34,medium
-3.8,4.3,14.0,0.64,0.203,low
21.4,1.3,11.4,0.41,0.236,low
37.3,11.5,40.3,1.83,0.747,high
20.9,12.4,31.9,1.58,0.617,medium
12.5,10.1,28.3,1.35,0.505,medium
23.9,16.3,11.3,1.15,0.531,medium
15.6,17.2,45.9,2.24,0.802,high
19.6,12.3,9.6,0.9,0.421,medium
37.4,0.3,39.7,1.25,0.529,medium
12.4,13.9,48.3,2.14,0.745,high
38.3,8.4,36.4,1.58,0.661,medium
35.7,11.3,49.6,2.07,0.812,high
3.8,13.0,32.6,1.63,0.558,medium
-1.9,7.0,10.9,0.68,0.236,low
-0.5,18.3,10.2,1.22,0.451,medium
-4.2,2.7,16.2,0.62,0.189,low
-0.8,13.4,0.4,0.68,0.274,low
25.7,0.1,34.1,1.03,0.423,medium
-1.8,18.5,13.4,1.33,0.477,medium
9.4,2.3,40.8,1.34,0.449,medium
33.0,1.9,18.0,0.64,0.354,medium
-4.0,6.7,24.0,1.06,0.332,medium
31.7,7.5,48.3,1.82,0.709,high
7.7,4.3,12.1,0.58,0.238,low
0.3,11.7,36.1,1.67,0.547,medium
26.4,8.9,37.8,1.58,0.624,medium
23.3,0.7,11.0,0.36,0.229,low
34.5,6.4,25.0,1.07,0.505,medium
28.1,16.2,17.5,1.34,0.6,medium
31.2,13.8,38.6,1.85,0.746,high
7.7,14.5,31.1,1.66,0.591,medium
3.0,14.0,23.8,1.41,0.499,medium
28.8,6.2,39.0,1.48,0.594,medium
31.3,2.0,11.8,0.45,0.296,low
39.6,5.4,37.7,1.49,0.623,medium
13.6,16.6,43.3,2.13,0.76,high
11.7,19.6,43.9,2.3,0.814,high
29.9,9.9,39.2,1.67,0.671,medium
10.3,0.2,20.4,0.62,0.241,low
36.9,2.8,49.1,1.65,0.653,medium
33.6,6.4,19.0,0.89,0.451,medium
14.3,11.6,31.9,1.54,0.572,medium
28.8,1.5,8.1,0.32,0.245,low
29.0,18.9,49.0,2.42,0.921,high
-0.4,7.3,35.2,1.42,0.453,medium
35.6,18.3,37.7,2.06,0.844,high
17.7,15.6,3.3,0.88,0.423,medium
32.2,15.1,38.2,1.9,0.771,high
9.4,12.1,38.7,1.77,0.617,medium
35.3,12.5,33.6,1.64,0.698,medium
12.5,12.8,14.6,1.08,0.442,medium
-4.5,12.6,24.5,1.36,0.445,medium
35.7,11.1,5.5,0.73,0.437,medium
-0.9,19.7,23.6,1.69,0.589,medium
9.4,14.6,12.2,1.1,0.442,medium
37.8,15.5,17.5,1.36,0.635,medium
37.8,17.4,8.1,1.17,0.591,medium
20.8,4.3,11.5,0.56,0.291,low
23.4,1.7,3.8,0.2,0.188,low
15.2,9.7,46.0,1.86,0.658,medium
8.2,10.3,26.5,1.31,0.475,medium
9.8,16.6,19.8,1.42,0.545,medium
25.3,8.9,26.8,1.25,0.527,medium
28.9,11.4,31.4,1.51,0.629,medium
30.6,10.5,46.1,1.91,0.743,high
30.5,0.8,8.9,0.31,0.246,low
-0.9,12.3,14.8,1.06,0.374,medium
17.2,16.6,48.8,2.29,0.822,high
-2.4,3.2,18.6,0.72,0.227,low
19.7,11.9,1.1,0.63,0.343,medium
14.9,11.9,7.4,0.82,0.375,medium
34.9,3.3,1.3,0.2,0.248,low
10.8,2.5,49.5,1.61,0.532,medium
0.3,19.6,13.9,1.4,0.511,medium
1.4,7.9,46.2,1.78,0.565,medium
29.3,4.5,49.8,1.72,0.654,medium
22.8,3.4,30.0,1.07,0.438,medium
-0.4,13.4,1.7,0.72,0.287,low
-1.2,12.2,4.1,0.73,0.281,low
26.5,12.9,24.1,1.37,0.586,medium
-1.7,1.8,20.3,0.7,0.217,low
32.0,17.9,30.3,1.8,0.757,high
26.8,7.8,21.9,1.05,0.472,medium
-1.3,6.3,46.7,1.72,0.527,medium
-1.2,9.2,26.7,1.26,0.414,medium
39.4,7.8,34.7,1.52,0.642,medium
11.8,17.3,44.8,2.21,0.778,high
11.7,18.6,7.3,1.15,0.487,medium
31.6,6.1,11.5,0.65,0.373,medium
37.6,17.3,5.4,1.08,0.566,medium
39.4,15.6,7.0,1.08,0.558,medium
28.9,18.6,25.6,1.7,0.717,high
11.9,4.9,16.1,0.73,0.301,medium
-1.2,11.5,21.2,1.21,0.411,medium
30.0,5.5,49.1,1.75,0.671,medium
20.1,16.5,7.8,1.06,0.489,medium
14.1,0.1,27.0,0.82,0.312,medium
35.8,11.3,4.9,0.73,0.436,medium
0.0,6.8,15.9,0.82,0.283,low
17.2,6.5,26.4,1.12,0.442,medium
-4.5,12.9,47.3,2.06,0.643,medium
16.1,17.0,19.6,1.44,0.58,medium
-2.5,12.2,3.2,0.71,0.268,low
0.3,17.1,19.4,1.44,0.51,medium
0.3,5.3,7.3,0.48,0.183,low
24.2,10.4,11.5,0.86,0.421,medium
28.6,9.0,30.9,1.38,0.578,medium
21.3,0.2,3.4,0.11,0.147,low
38.3,11.1,23.2,1.32,0.602,medium
11.9,13.2,30.5,1.58,0.581,medium
7.9,11.8,21.1,1.22,0.457,medium
34.1,14.7,1.0,0.76,0.459,medium
5.1,11.4,49.3,2.05,0.674,medium
38.3,1.3,18.4,0.68,0.375,medium
-4.5,2.3,38.9,1.28,0.371,medium
38.6,11.9,16.3,1.16,0.561,medium
-3.1,5.5,23.8,0.99,0.311,medium
35.1,1.6,19.4,0.66,0.369,medium
18.7,8.6,17.1,0.94,0.41,medium
39.7,11.1,1.1,0.68,0.424,medium
-1.7,6.6,18.0,0.87,0.289,low
19.9,14.4,44.5,2.06,0.757,high
38.6,12.9,34.5,1.75,0.732,high
18.5,6.7,7.3,0.55,0.291,low
23.3,15.1,29.6,1.64,0.659,medium
26.3,13.0,44.6,1.99,0.759,high
15.5,12.7,35.0,1.68,0.624,medium
23.2,11.1,7.4,0.78,0.396,medium
21.3,0.2,43.4,1.31,0.483,medium
35.6,13.9,15.1,1.16,0.57,medium
-3.0,7.5,22.7,1.06,0.34,medium
7.6,18.9,26.3,1.73,0.634,medium
37.8,16.4,42.5,2.15,0.862,high
35.1,11.8,46.6,1.99,0.792,high
15.5,5.0,46.5,1.64,0.574,medium
22.9,4.1,0.4,0.22,0.203,low
7.5,6.8,46.1,1.72,0.57,medium
3.5,9.5,2.7,0.56,0.239,low
15.9,5.9,13.3,0.69,0.314,medium
10.9,10.3,25.7,1.29,0.481,medium
21.3,3.3,24.0,0.88,0.379,medium
-1.5,19.6,30.2,1.89,0.64,medium
38.8,2.2,24.0,0.91,0.442,medium
39.4,18.6,46.7,2.42,0.949,high
26.4,18.3,12.0,1.27,0.586,medium
19.1,10.5,13.7,0.94,0.42,medium
8.9,14.5,46.0,2.1,0.722,high
31.6,8.7,3.8,0.55,0.358,medium
25.8,12.6,30.5,1.54,0.63,medium
2.3,6.8,34.1,1.36,0.446,medium
36.0,6.0,25.3,1.08,0.508,medium
32.0,11.6,34.7,1.62,0.674,medium
37.7,10.0,8.6,0.81,0.454,medium
27.7,11.6,42.6,1.86,0.722,high
22.6,5.7,7.0,0.5,0.288,low
13.8,7.3,20.0,0.96,0.388,medium
37.0,1.7,3.8,0.24,0.252,low
34.0,1.0,27.3,0.87,0.42,medium
-3.0,5.1,33.5,1.26,0.385,medium
-3.8,1.5,47.1,1.49,0.428,medium
11.9,2.1,37.0,1.21,0.423,medium
31.5,16.3,27.1,1.63,0.698,medium
39.4,0.8,46.6,1.53,0.609,medium
1.8,13.2,23.9,1.38,0.48,medium
21.7,5.5,28.1,1.12,0.457,medium
12.1,17.4,29.8,1.76,0.655,medium
38.6,9.7,20.5,1.17,0.554,medium
32.9,6.1,41.9,1.56,0.634,medium
32.7,10.4,9.3,0.8,0.441,medium
16.1,7.6,27.7,1.21,0.469,medium
13.7,11.3,36.1,1.65,0.599,medium
7.3,2.3,45.2,1.47,0.476,medium
-2.5,19.9,44.2,2.32,0.759,high
33.9,8.5,25.4,1.19,0.546,medium
31.6,7.0,32.2,1.32,0.564,medium
40.0,14.2,19.7,1.4,0.641,medium
39.8,7.3,23.4,1.16,0.54,medium
20.0,16.7,45.3,2.19,0.807,high
29.6,9.1,46.5,1.85,0.715,high
37.5,14.4,44.8,2.11,0.841,high
33.2,2.1,6.9,0.31,0.265,low
6.1,16.9,42.5,2.12,0.726,high
15.3,14.7,47.4,2.16,0.766,high
0.8,4.2,18.1,0.75,0.255,low
37.9,2.9,25.9,0.98,0.466,medium
22.3,6.3,39.0,1.48,0.566,medium
5.3,19.5,28.1,1.82,0.651,medium
25.2,5.1,49.7,1.75,0.647,medium
22.8,9.1,22.8,1.14,0.486,medium
11.1,0.6,35.7,1.1,0.381,medium
0.1,7.9,39.6,1.58,0.503,medium
25.2,11.4,24.7,1.31,0.556,medium
18.4,19.1,42.8,2.24,0.825,high
29.8,10.3,27.3,1.33,0.577,medium
18.4,16.4,20.6,1.44,0.587,medium
33.3,10.9,5.4,0.71,0.421,medium
19.8,0.8,19.7,0.63,0.289,low
20.2,6.3,36.7,1.42,0.538,medium
34.4,11.5,46.1,1.96,0.779,high
13.2,19.0,12.6,1.33,0.546,medium
1.0,17.2,17.8,1.39,0.501,medium
-3.7,4.6,7.7,0.46,0.156,low
29.0,4.4,34.5,1.25,0.522,medium
22.9,4.0,48.0,1.64,0.601,medium
26.7,18.4,32.0,1.88,0.757,high
4.6,17.1,30.9,1.78,0.625,medium
1.1,15.5,27.7,1.61,0.553,medium
-4.3,7.9,4.4,0.53,0.188,low
10.8,10.1,36.5,1.6,0.567,medium
21.5,9.3,30.1,1.37,0.546,medium
12.7,5.1,33.1,1.25,0.452,medium
14.7,10.1,44.9,1.85,0.655,medium
35.7,0.6,39.2,1.22,0.521,medium
10.7,2.6,39.0,1.3,0.445,medium
18.1,17.7,46.4,2.28,0.827,high
30.3,15.0,49.5,2.24,0.856,high
12.8,8.5,29.1,1.3,0.483,medium
23.0,10.3,5.4,0.68,0.364,medium
33.8,7.4,23.0,1.06,0.504,medium
37.7,14.8,39.4,1.98,0.805,high
1.6,15.7,1.4,0.83,0.337,medium
36.7,15.3,2.8,0.88,0.5,medium
17.1,14.5,3.4,0.83,0.4,medium
6.6,4.1,36.6,1.3,0.435,medium
15.7,6.8,25.1,1.09,0.43,medium
39.1,9.4,18.4,1.1,0.533,medium
17.2,6.6,5.3,0.49,0.266,low
9.8,15.1,36.6,1.85,0.658,medium
23.5,6.6,16.1,0.81,0.385,medium
5.8,2.8,13.3,0.54,0.211,low
-1.6,8.0,32.6,1.38,0.439,medium
0.8,19.6,28.0,1.82,0.632,medium
0.8,4.5,18.1,0.77,0.261,low
1.8,12.2,32.1,1.57,0.53,medium
1.2,8.7,13.6,0.84,0.305,medium
23.8,1.4,39.7,1.26,0.486,medium
3.2,9.8,11.5,0.84,0.318,medium
10.6,14.0,7.9,0.94,0.4,medium
35.4,10.3,39.1,1.7,0.703,high
16.3,17.4,35.4,1.93,0.721,high
25.0,5.8,9.1,0.56,0.318,medium
2.8,1.7,5.8,0.26,0.113,low
3.7,18.7,41.9,2.19,0.744,high
-3.2,7.6,38.8,1.54,0.476,medium
2.6,11.5,16.4,1.07,0.388,medium
7.5,15.8,32.9,1.78,0.631,medium
3.0,6.5,6.2,0.51,0.209,low
-1.0,14.3,25.4,1.48,0.501,medium
0.4,2.7,0.9,0.16,0.08,low
15.7,5.8,19.6,0.88,0.365,medium
4.3,2.9,3.7,0.26,0.126,low
11.4,16.2,23.8,1.52,0.578,medium
17.7,4.5,21.1,0.86,0.362,medium
